Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
Jacksonville,G0JA27FMY,4/17/2024,Y,Y,Outdoor
Jacksonville,G0JA27FNW,4/17/2024,Y,Partial,Outdoor
Jacksonville,G0JA27FPU,4/17/2024,Y,Y,Outdoor
Jacksonville,G0JA27FTM,4/17/2024,Y,Y,Outdoor
Jacksonville,G0JA27FVG,4/17/2024,Y,Partial,Outdoor
Jacksonville,G0JA27FXC,4/17/2024,Y,Partial,Outdoor
Jacksonville,G0JA27FY9,4/17/2024,Y,Y,Outdoor
Jacksonville,G0JA27G07,4/17/2024,Y,Partial,Outdoor
JAX,G0JA2961A,7/22/2024,N,N,Outdoor
JAX,G0JA29628,7/22/2024,N,N,Outdoor
JAX,G0JA29660,7/22/2024,N,N,Outdoor
JAX,G0JA2967X,7/22/2024,N,N,Outdoor
JAX,G0JA2968V,7/22/2024,N,N,Outdoor
JAX,G0JA2969T,7/22/2024,N,N,Outdoor
JAX,G0JA296AQ,7/22/2024,N,N,Outdoor
JAX,G0JA296DK,7/22/2024,N,N,Outdoor
"Miami, FL",G0MD2VEWY,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MD2VFFU,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MD2VFJK,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MD2VFND,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MD2VFYT,1/17/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VQ71,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VW8T,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VXMO,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VXPV,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VXWF,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MD2VY8Q,2/12/2024,Y,N,Outdoor
